Entrez_Gene_Id	TCGA-AB-2805-03A	TCGA-AB-2806-03A	TCGA-AB-2808-03A	TCGA-AB-2810-03A	TCGA-AB-2812-03A	TCGA-AB-2813-03A	TCGA-AB-2814-03A	TCGA-AB-2815-03A	TCGA-AB-2817-03A	TCGA-AB-2818-03A	TCGA-AB-2819-03A	TCGA-AB-2820-03A	TCGA-AB-2821-03A	TCGA-AB-2822-03A	TCGA-AB-2823-03A	TCGA-AB-2825-03A	TCGA-AB-2826-03A	TCGA-AB-2828-03A	TCGA-AB-2830-03A	TCGA-AB-2834-03A
100130396	0.342	0.0	0.0	0.0	0.0	0.0	0.6279	0.2825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2721	0.0	0.3734	0.3249
100130400	0.2206	1.334	1.7304	0.0	0.1847	0.3518	0.4049	0.3645	0.3109	0.9119	0.3455	0.0	0.0	1.5253	0.4175	0.2724	1.5796	0.2114	0.4816	1.2573
100130402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3871	0.0	0.0885	0.0
100130403	0.0	0.0	0.0	0.0	0.2449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3161	0.0	0.2768	0.0	0.2327	0.0	0.0	0.2778
100130405	0.1804	0.0	0.4718	0.4809	0.4532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.5742	0.0	0.0	0.0
100130409	0.3125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6174	0.0	0.0	0.0	0.0	0.0	0.0
100130417	5.4874	28.6857	2.4908	7.3137	1.0163	7.704	4.3174	2.4025	27.2984	1.4114	8.3376	3.4308	1.9678	4.6215	22.3051	0.1561	2.6157	4.0234	0.0552	0.5525
100130418	0.0472	0.387	10.523	0.1571	0.0592	0.8274	0.2164	0.0974	0.4984	0.2437	0.0739	37.0695	18.0934	0.2562	0.0446	0.2038	0.0375	0.0904	0.5148	0.224
100130435	0.2108	0.1822	0.0	0.562	0.1765	0.0	0.1935	0.0	0.0	0.2179	0.4953	0.0	0.0	0.0	0.0	0.2604	0.0	0.4041	0.2302	0.0
100130446	13.7733	14.8258	14.5647	9.0283	14.3683	13.6857	13.0573	10.8192	8.5916	13.5361	13.793	13.8152	18.303	17.6214	9.4025	7.5284	7.9051	23.5893	12.0793	8.7945
100130447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130448	0.171	0.0739	0.2236	0.0	0.0716	0.0	0.0	0.2825	0.0	0.0	0.1339	0.0	0.0	0.0	0.1618	0.0	0.068	0.0	0.0	0.0
100130449	0.357	0.0561	0.0849	1.4275	0.8153	0.1553	0.0894	0.5631	0.0457	0.1006	0.0	0.2158	0.3859	0.1282	0.0921	0.3607	0.1808	0.1866	0.1063	0.0925
100130450	0.4261	1.4726	1.9315	2.6125	0.4281	0.4758	1.2516	0.5632	0.8407	0.7928	1.2681	0.6801	0.6448	1.5996	1.2098	0.2105	0.8815	0.8168	0.5583	0.4858
100130451	0.1216	0.0	0.106	0.0	0.1018	0.0485	0.2232	0.0	0.0857	0.1257	0.0	0.0809	0.0657	0.0	0.0575	0.0	0.0	0.0	0.0	0.0
100130461	0.919	0.5955	0.8011	0.0	0.0	0.0	0.4218	0.0	0.3238	1.1873	0.0	0.0	0.2483	0.227	0.2174	0.5674	0.0	0.0	0.0	0.4365
100130462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130466	0.5974	0.5161	1.1717	0.1991	0.0	0.2382	0.1371	0.1234	0.2105	0.3087	0.3509	0.0	0.0	0.5902	0.2827	0.0	1.0695	0.2863	0.1631	0.4256
100130476	3.213	25.9236	3.0654	5.8673	4.7027	3.3292	2.9958	7.19	15.8664	1.9874	1.9814	7.1005	4.129	7.9478	27.0089	6.061	2.7579	9.7723	28.0913	2.115
100130480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130481	0.0	0.0571	0.0	0.0881	0.0	0.0	0.0	0.0	0.0	0.0	0.0517	0.0	0.0	0.0653	0.0	0.0	0.0	0.0633	0.0	0.0628
100130484	0.0	0.1114	0.0	0.0	0.0	0.1029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130490	0.1381	0.0	0.1204	0.0	0.0	0.1102	0.0	0.2283	0.7788	0.0	0.1082	0.0	0.2986	0.0	0.1307	0.0	0.2198	0.0	0.6033	0.0
100130495	7.6889	5.9558	8.089	7.421	1.554	21.5681	10.7083	8.7616	10.0887	9.8656	5.6064	5.2899	8.8834	8.6434	4.0149	8.8401	8.4386	17.7887	5.2105	8.5637
100130497	0.0	0.2492	0.0	0.0	0.0	0.0	0.1324	0.0	0.0	0.1491	0.0	0.0	0.1559	0.0	0.1365	0.0	0.0	0.0	0.0	0.0
100130500	0.0	0.0	0.0732	0.0	0.0	0.0	0.0	0.0	0.0	0.0868	0.0658	0.0	0.0908	0.083	0.0	0.0	0.0	0.0	0.0	0.2394
100130514	0.0	0.0	0.1646	0.0	0.0	0.0	0.0	0.0	0.0	0.1952	0.0	0.0	0.0	0.1865	0.0	0.0	0.1503	0.0	0.0	0.0
100130519	3.3869	3.6014	0.9084	1.2153	1.3452	2.1471	1.5146	2.0447	5.4463	0.8527	1.8363	4.5627	3.3321	12.0965	2.9999	1.3941	0.4492	1.6647	6.1155	2.8875
100130520	35.5175	0.4491	4.9838	7.1586	1.1605	7.3234	0.0	9.4469	9.2785	3.0443	1.2212	2.535	0.9363	0.1712	3.2795	2.9953	35.154	36.8656	0.0	11.8506
100130522	1.4184	1.059	0.3053	0.2801	0.4105	0.1257	0.9644	0.3906	1.0118	0.5249	0.4114	0.8618	0.6813	0.6746	0.9115	0.9731	0.3762	0.6378	0.8221	0.1663
100130523	2.7053	2.8938	1.6844	1.8887	0.7551	0.5137	1.6555	0.6386	1.2709	0.7989	1.6143	1.1995	0.557	1.0181	0.3658	0.4773	1.4351	0.9878	0.1407	0.8567
100130524	0.126	0.3267	0.6592	0.168	0.0	0.1005	0.1157	0.2083	0.0	0.0	0.3948	0.0	0.0	0.3735	0.0	0.0	0.2006	0.2416	0.0	0.0
100130528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.0	0.0
100130537	0.8333	2.1598	2.1791	1.851	0.6977	0.2215	2.2946	0.4589	1.9572	0.8613	1.5227	0.3695	0.3002	1.372	0.0	0.686	0.663	1.3311	0.6065	0.7916
100130539	0.0613	0.0	0.0	0.0	0.0513	0.0489	0.0	0.0	0.0863	0.0	0.0	0.0	0.0662	0.0	0.0	0.0756	0.0487	0.0	0.0669	0.0
100130549	0.0	0.2326	0.4693	0.0	0.0	0.0	0.0	0.2224	0.0	0.0	0.0	0.3581	0.0	0.0	0.0	0.0	0.0	0.0	0.2939	0.2557
100130550	2.1961	1.8974	1.1812	0.0	0.3912	1.7515	0.7291	1.8915	0.9219	2.4148	0.2562	0.1243	0.9595	0.6462	0.4422	3.289	1.6359	3.3589	0.8162	2.6633
100130555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3325	0.0	0.3696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130557	5.8502	3.7639	1.6818	3.4839	1.8239	1.9854	3.4277	3.702	4.5609	8.1054	0.9261	4.2219	5.2468	2.8897	1.826	3.3816	5.1997	3.1019	4.1449	3.1336
100130561	15.8516	12.2451	16.9063	9.4452	12.3357	7.4365	12.6674	7.8575	16.8204	10.7944	11.8302	12.4026	10.2796	13.0802	8.4718	11.5147	9.3484	23.058	7.1262	48.5425
100130562	192.6669	44.7878	184.7089	528.7086	190.1251	249.0143	373.7686	215.8141	368.3189	150.7454	254.6333	170.4757	155.6944	206.9693	331.6778	195.8846	39.1575	245.3433	519.1609	186.0949
100130564	0.3228	0.2092	0.4221	0.2151	0.0676	0.1931	0.2963	0.2	0.1137	0.5005	0.0632	0.2147	0.0872	0.2392	0.3819	0.0	0.3211	0.4641	0.3524	0.23
100130566	11.2829	72.2978	0.2732	0.0	1.837	0.7499	0.8631	0.7768	19.4345	11.662	7.3636	0.0	40.3104	0.9288	2.0763	4.6444	0.0	2.4032	0.0	0.8932
100130572	0.0	0.0752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130579	0.3851	0.3327	0.0	0.5132	0.0	0.3071	0.5891	0.2121	0.1809	0.2653	0.4021	0.3415	0.2775	0.8876	0.1215	0.0	0.2043	0.123	0.0	0.1219
100130581	3.6427	6.8272	1.9657	1.3615	3.3486	1.4833	3.8125	3.1925	5.8263	3.6655	2.5887	4.4992	6.0932	3.3225	2.6632	3.2131	4.202	2.6324	7.0493	14.4098
100130584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1583	0.1447	0.0	0.0	0.3495	0.0	0.0	0.0
100130600	48.7304	43.994	25.4599	36.0602	28.4779	34.3277	51.7504	37.7504	62.4474	51.2817	24.5598	56.485	74.4756	54.8975	47.9744	58.8955	25.1973	35.6194	53.9164	39.5026
100130603	0.0844	0.0	0.0	0.1125	0.0	0.0	0.0	0.0697	0.0	0.0	0.0661	0.0	0.0912	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130606	0.8467	0.8535	0.8611	0.1881	0.3545	0.1125	0.2591	0.5829	0.1989	0.1459	0.6631	0.5631	0.4576	0.5576	0.5342	0.1743	0.786	0.1353	0.1541	0.2681
100130607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1106	0.0898	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130620	0.0	0.1263	0.0	0.0	0.0	0.0	0.0	0.3624	0.2061	0.0	0.1145	0.0	0.0	0.0	2.7679	0.0	0.0	0.0	0.0	0.0
100130621	1.2824	3.6007	3.2137	0.2136	1.4764	1.0227	0.8828	1.4567	4.9699	3.8107	2.0086	8.3152	4.6777	2.3753	3.641	2.3754	0.2551	2.1509	6.8253	3.1978
100130624	7.6293	6.4345	5.0669	4.8422	2.1293	2.6077	3.6683	3.1515	10.4959	3.0041	3.6988	3.3826	4.3193	9.3313	4.2979	3.5891	4.4806	2.2634	3.5698	3.1062
100130626	0.0	0.0	0.0	0.0	0.2609	0.0	0.286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8846	0.0	0.0	0.0	0.0	0.0
100130631	0.6034	1.564	1.315	1.2064	0.7579	0.2406	0.0	1.2463	0.8504	0.9355	1.1814	0.0	0.3261	0.298	0.0	0.3726	0.2401	0.2892	0.3294	2.0063
100130636	0.0239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227
100130637	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130640	0.1664	0.0	0.2901	0.2218	0.0	0.0	0.0	0.5499	0.0	0.344	0.1303	0.0	0.1798	0.0	0.1575	0.0	0.3972	0.319	0.0	0.0
100130649	1.5828	0.0	0.8278	0.0	0.2651	0.5891	0.0	2.5281	0.4461	0.3272	0.0826	0.1404	0.2281	0.0	0.3995	1.694	1.3434	0.5057	0.1152	0.2005
100130660	0.8766	1.9354	1.4433	0.5193	0.8155	0.3884	0.7152	0.4828	2.608	1.4094	1.7544	0.2591	2.737	0.8659	0.4609	2.0447	0.5425	1.587	1.1697	1.1103
100130671	0.0	0.0	0.1549	0.0	0.4463	0.0	0.0	0.2935	0.0	0.1836	0.1391	0.0	0.0	0.0	0.1681	0.0	0.0	0.0	0.194	0.0
100130676	0.0	0.0	0.2078	0.0	0.1996	0.0	0.6564	0.0985	0.168	0.2464	0.0933	0.1585	0.0	0.0	0.0	0.1472	0.0948	0.2285	0.1301	0.0
100130677	0.0	0.0	0.0	0.0	0.0	0.0	0.2975	0.0892	0.0	0.0	0.0	0.0	0.467	76.2966	20.8549	0.0	0.0	0.0	0.0	1.334
100130680	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100130682	11.7912	5.4922	10.3677	4.6464	11.5041	1.2266	7.1528	4.6589	9.3925	9.3261	3.9347	4.3642	4.9869	7.2929	6.1134	2.4057	5.2214	5.8965	2.1269	5.2599
100130684	0.0316	0.0319	0.0	0.0281	0.0177	0.0084	0.0387	0.0044	0.0223	0.0218	0.0041	0.014	0.0855	0.0573	0.025	0.013	0.0	0.0202	0.023	0.0251
100130687	1.2835	0.6654	0.0	0.0	1.2897	0.0	0.7069	1.2725	0.3618	0.796	0.0	0.3415	0.2775	1.0144	0.9718	0.951	1.4298	0.0	0.0	2.4387
